gene	conMean	treatMean	logFC	pValue	fdr
RAB4B	6.56243796950864	3.52903913470642	-0.894956452126599	8.22171915857196e-42	2.23315246094492e-41
TIGAR	0.948822234788289	2.81140656880466	1.56708237909219	3.51123013606219e-52	2.87270540867794e-51
RPL23A	117.525909078949	78.6917811143035	-0.578693972169035	2.384025115929e-42	6.61945335023748e-42
ARL8B	7.48772658344833	14.7319313762003	0.976346921491731	1.1336209042302e-53	1.98523381093139e-52
CALB2	0.43086142163348	6.00845782603868	3.8016989123117	1.78442004201521e-48	7.518586628244e-48
DACH1	0.455020153023162	1.26446215797242	1.47452151220314	1.87009143556518e-19	2.80493160361865e-19
FMO2	2.12585351103013	1.62391132629173	-0.388569330334679	3.72259678447845e-08	4.52965364293719e-08
ZNF708	1.74596477955237	1.2364045895137	-0.497873541938183	3.79736315229921e-35	8.15891741825863e-35
AP000892.4	2.1643319940583	1.67284985589159	-0.371613851637851	4.44921211280227e-14	6.04921439634339e-14
MOGAT2	0.0413502467667468	0.705686731755436	4.09306004071532	1.47370771795258e-26	2.55357007354367e-26
PFN2	8.74543174995103	10.9488593310184	0.324179060580113	0.166634641839481	0.171623451937825
RMND5A	3.20338741423239	6.42372705621424	1.0038123074775	1.59745631347212e-55	9.9641549062154e-54
AC092301.1	0.470402378640862	0.268523239113821	-0.808848404916429	5.39149385800269e-21	8.34847475447894e-21
RAD23A	17.0287088713048	22.05730200039	0.373287281496382	5.60506301158749e-33	1.12978862416725e-32
TUBB4A	1.16467181635641	0.477057091883206	-1.28768965010578	4.91835670014313e-33	9.93916904879353e-33
OR2D2	1.47406358028385	0.00178012057103024	-9.69360807666885	4.75168377103072e-32	9.36203822400884e-32
GJA4	2.40516622912609	5.72246916160299	1.25050117616882	7.26642984887374e-39	1.75672878278552e-38
MFSD3	5.13741869759288	7.18169820566004	0.48328137078538	2.32275241406028e-09	2.89569518018149e-09
CTSA	18.1155514464383	22.2829467433072	0.298711307474652	1.44662051947341e-13	1.94898146601074e-13
